Algorithm,Data Size (MB),Timing (ms)
sha512,2,2.8924942016601562
sha512,2,2.7980804443359375
sha512,2,2.786397933959961
sha512,2,2.9413700103759766
sha512,4,5.852699279785156
sha512,4,5.754947662353516
sha512,4,5.750417709350586
sha512,4,5.666255950927734
sha512,4,5.592584609985352
sha512,8,11.456966400146484
sha512,8,11.401176452636719
sha512,8,11.341333389282227
sha512,8,11.312246322631836
sha512,8,11.279821395874023
sha512,16,20.926952362060547
sha512,16,21.80767059326172
sha512,16,22.87745475769043
sha512,16,22.75371551513672
sha512,16,22.502660751342773
sha512,32,45.932769775390625
sha512,32,46.07391357421875
sha512,32,46.065330505371094
sha512,32,46.67043685913086
sha512,32,46.71168327331543
sha512,64,93.05381774902344
sha512,64,91.0036563873291
sha512,64,83.99653434753418
sha512,64,83.81175994873047
sha512,64,84.25116539001465
sha512,128,178.67255210876465
sha512,128,182.71780014038086
sha512,128,175.37546157836914
sha512,128,170.37177085876465
sha512,128,176.33891105651855
sha512,200,278.03969383239746
sha512,200,279.62231636047363
sha512,200,291.1245822906494
sha512,200,287.2023582458496
sha512,200,288.0096435546875
sha512,512,714.7989273071289
sha512,512,699.7425556182861
sha512,512,722.8333950042725
sha512,512,704.6146392822266
sha512,512,730.1850318908691
sha3_256,1,2.262592315673828
sha3_256,1,2.329587936401367
sha3_256,1,2.353191375732422
sha3_256,1,2.437591552734375
sha3_256,1,2.381563186645508
sha3_256,2,5.057811737060547
sha3_256,2,5.004167556762695
sha3_256,2,5.071401596069336
sha3_256,2,5.007266998291016
sha3_256,2,5.108833312988281
sha3_256,4,9.734392166137695
sha3_256,4,9.597301483154297
sha3_256,4,9.639739990234375
sha3_256,4,9.66334342956543
sha3_256,4,9.750127792358398
sha3_256,8,19.16337013244629
sha3_256,8,19.330501556396484
sha3_256,8,19.321680068969727
sha3_256,8,19.730329513549805
sha3_256,8,19.04916763305664
sha3_256,16,42.60659217834473
sha3_256,16,34.51275825500488
sha3_256,16,34.86180305480957
sha3_256,16,35.47501564025879
sha3_256,16,31.557559967041016
sha3_256,32,65.06061553955078
sha3_256,32,70.07694244384766
sha3_256,32,78.17912101745605
sha3_256,32,76.40933990478516
sha3_256,32,66.63918495178223
sha3_256,64,137.12787628173828
sha3_256,64,136.53016090393066
sha3_256,64,145.7369327545166
sha3_256,64,138.23938369750977
sha3_256,64,135.85972785949707
sha3_256,128,280.2276611328125
sha3_256,128,290.3754711151123
sha3_256,128,281.97360038757324
sha3_256,128,289.02554512023926
sha3_256,128,290.7576560974121
sha3_256,200,457.2148323059082
sha3_256,200,460.1311683654785
sha3_256,200,435.58764457702637
sha3_256,200,435.38784980773926
sha3_256,200,430.4234981536865
sha3_256,512,1129.4288635253906
sha3_256,512,1158.0336093902588
sha3_256,512,1150.545597076416
sha3_256,512,1191.6372776031494
sha3_256,512,1136.6183757781982
blake2s,1,1.794576644897461
blake2s,1,1.8444061279296875
blake2s,1,1.7771720886230469
blake2s,1,1.7387866973876953
blake2s,1,1.7371177673339844
blake2s,2,3.4835338592529297
blake2s,2,3.404855728149414
blake2s,2,3.4012794494628906
blake2s,2,3.444671630859375
blake2s,2,3.404378890991211
blake2s,4,6.775379180908203
blake2s,4,6.805419921875
blake2s,4,6.916046142578125
blake2s,4,6.933927536010742
blake2s,4,6.837129592895508
blake2s,8,13.699769973754883
blake2s,8,13.731956481933594
blake2s,8,13.733148574829102
blake2s,8,13.987064361572266
blake2s,8,13.696670532226562
blake2s,16,27.41265296936035
blake2s,16,27.559280395507812
blake2s,16,27.599811553955078
blake2s,16,28.53560447692871
blake2s,16,27.64749526977539
blake2s,32,56.8392276763916
blake2s,32,59.31496620178223
blake2s,32,56.867361068725586
blake2s,32,55.28545379638672
blake2s,32,67.93904304504395
blake2s,64,108.89363288879395
blake2s,64,110.71610450744629
blake2s,64,110.65530776977539
blake2s,64,111.8156909942627
blake2s,64,118.2701587677002
blake2s,128,235.12029647827148
blake2s,128,230.9415340423584
blake2s,128,234.42316055297852
blake2s,128,230.39722442626953
blake2s,128,232.40971565246582
blake2s,200,363.68250846862793
blake2s,200,356.8134307861328
blake2s,200,361.6213798522949
blake2s,200,359.3583106994629
blake2s,200,363.54923248291016
blake2s,512,907.8104496002197
blake2s,512,917.1521663665771
blake2s,512,926.6889095306396
blake2s,512,900.6471633911133
blake2s,512,909.0924263000488
blake2b,1,1.1298656463623047
blake2b,1,1.155853271484375
blake2b,1,1.2023448944091797
blake2b,1,1.1210441589355469
blake2b,1,1.119375228881836
blake2b,2,2.4352073669433594
blake2b,2,2.427339553833008
blake2b,2,2.412080764770508
blake2b,2,2.3162364959716797
blake2b,2,2.3179054260253906
blake2b,4,5.515575408935547
blake2b,4,5.634546279907227
blake2b,4,6.595134735107422
blake2b,4,4.421234130859375
blake2b,4,4.612922668457031
blake2b,8,9.808540344238281
blake2b,8,9.75942611694336
blake2b,8,9.694576263427734
blake2b,8,9.720563888549805
blake2b,8,9.753704071044922
blake2b,16,19.458532333374023
blake2b,16,19.341707229614258
blake2b,16,21.846294403076172
blake2b,16,17.790555953979492
blake2b,16,17.289161682128906
blake2b,32,35.158395767211914
blake2b,32,35.451650619506836
blake2b,32,36.06390953063965
blake2b,32,36.23819351196289
blake2b,32,36.405324935913086
blake2b,64,73.97007942199707
blake2b,64,78.521728515625
blake2b,64,79.18119430541992
blake2b,64,78.78589630126953
blake2b,64,78.98068428039551
blake2b,128,146.78549766540527
blake2b,128,152.46272087097168
blake2b,128,152.7421474456787
blake2b,128,158.38932991027832
blake2b,128,153.80239486694336
blake2b,200,239.5319938659668
blake2b,200,238.29054832458496
blake2b,200,239.5310401916504
blake2b,200,239.87388610839844
blake2b,200,237.0164394378662
blake2b,512,611.2172603607178
blake2b,512,600.3139019012451
blake2b,512,613.1501197814941
blake2b,512,613.9216423034668
blake2b,512,599.9126434326172
blake3,1,0.3566741943359375
blake3,1,0.354766845703125
blake3,1,0.33211708068847656
blake3,1,0.3178119659423828
blake3,1,0.30994415283203125
blake3,2,0.9341239929199219
blake3,2,0.6341934204101562
blake3,2,0.6244182586669922
blake3,2,0.6341934204101562
blake3,2,0.6277561187744141
blake3,4,1.4297962188720703
blake3,4,1.4214515686035156
blake3,4,1.558542251586914
blake3,4,1.5032291412353516
blake3,4,1.3706684112548828
blake3,8,2.948284149169922
blake3,8,2.9001235961914062
blake3,8,2.9337406158447266
blake3,8,2.6960372924804688
blake3,8,2.96783447265625
blake3,16,5.656957626342773
