Algorithm,Data Size (MB),Timing (ms)
blake2b,16,50.02284049987793
blake2b,16,41.747331619262695
blake2b,16,44.15559768676758
blake2b,16,49.64089393615723
blake2b,16,42.19961166381836
blake3,200,282.94849395751953
blake3,200,258.93568992614746
blake3,200,260.0862979888916
blake3,200,241.03307723999023
blake3,200,251.78074836730957
blake2b,32,85.37936210632324
blake2b,32,87.84794807434082
blake2b,32,93.23406219482422
blake2b,32,87.90969848632812
blake2b,32,90.81792831420898
blake2s,64,273.13828468322754
blake2s,64,267.4412727355957
blake2s,64,259.6871852874756
blake2s,64,254.71091270446777
blake2s,64,253.2505989074707
blake2b,64,173.2778549194336
blake2b,64,174.71003532409668
blake2b,64,176.95093154907227
blake2b,64,175.23431777954102
blake2b,64,179.13079261779785
sha256,1,1.9903182983398438
sha256,1,1.0082721710205078
sha256,1,1.9614696502685547
sha256,1,1.9550323486328125
sha256,1,0.9756088256835938
sha256,2,2.9392242431640625
sha256,2,2.9289722442626953
sha256,2,1.953125
sha256,2,2.4847984313964844
sha256,2,2.9401779174804688
sha256,4,4.920721054077148
sha256,4,6.4544677734375
sha256,4,5.808830261230469
sha256,4,3.936767578125
sha256,4,4.900693893432617
sha256,8,10.295867919921875
sha256,8,10.780811309814453
sha256,8,11.283397674560547
sha256,8,10.818243026733398
sha256,8,9.804248809814453
sha256,16,23.038148880004883
sha256,16,21.086454391479492
sha256,16,21.155357360839844
sha256,16,20.580530166625977
sha256,16,21.622896194458008
sha256,32,43.19262504577637
sha256,32,41.67580604553223
sha256,32,45.197248458862305
sha256,32,42.173147201538086
sha256,32,45.69578170776367
blake2s,128,532.9890251159668
blake2s,128,504.03547286987305
blake2s,128,480.7865619659424
blake2s,128,495.1171875
blake2s,128,493.1497573852539
sha256,64,86.90118789672852
sha256,64,85.87932586669922
sha256,64,86.81607246398926
sha256,64,87.35370635986328
sha256,64,97.18561172485352
blake2b,128,357.10978507995605
blake2b,128,386.12937927246094
blake2b,128,392.1792507171631
blake2b,128,396.892786026001
blake2b,128,428.8938045501709
blake3,512,652.2088050842285
blake3,512,575.7160186767578
blake3,512,578.8180828094482
blake3,512,638.9482021331787
blake3,512,742.4638271331787
sha256,128,200.1509666442871
sha256,128,216.02272987365723
sha256,128,184.10897254943848
sha256,128,221.9843864440918
sha256,128,189.96262550354004
sha256,200,318.6626434326172
sha256,200,340.29483795166016
sha256,200,264.9369239807129
sha256,200,245.80073356628418
sha256,200,254.15778160095215
blake2s,200,783.0517292022705
blake2s,200,753.8301944732666
blake2s,200,774.2855548858643
blake2s,200,841.0298824310303
blake2s,200,719.7942733764648
blake2b,200,617.274284362793
blake2b,200,629.5380592346191
blake2b,200,664.2377376556396
blake2b,200,605.0815582275391
blake2b,200,547.1096038818359
sha256,512,614.835262298584
sha256,512,492.94281005859375
sha256,512,520.0417041778564
sha256,512,505.9688091278076
sha256,512,525.0844955444336
blake2b,512,1610.687017440796
blake2b,512,1141.2532329559326
blake2b,512,1104.6340465545654
blake2b,512,951.7698287963867
blake2b,512,910.1808071136475
blake2s,512,2054.9099445343018
blake2s,512,1679.3997287750244
blake2s,512,1544.5401668548584
blake2s,512,1316.14089012146
blake2s,512,1913.5479927062988
