OS,Hash,Round,RawTimes
macOS,blake3,round6,"[26707000, 18743000, 118341000, 89013000, 56163000, 6833000, 66914000, 14628000, 262677000, 22839000, 15262000, 91460000, 26796000, 63000000, 14650000]"
macOS,blake3,round7,"[8001000, 39635000, 3064000, 4322000, 76348000, 56127000, 4561000, 9838000, 47513000, 28155000, 29230000, 5250000, 18744000, 25892000, 5568000]"
macOS,blake3,round8,"[90291000, 79215000, 52344000, 29474000, 82940000, 40660000, 151329000, 5689000, 20597000, 52930000, 11123000, 138204000, 2225000, 13800000, 36166000]"
macOS,blake3,round9,"[70050000, 7076000, 48931000, 2568000, 7570000, 77871000, 78458000, 5522000, 50111000, 8060000, 6106000, 59983000, 55403000, 7736000, 14685000]"
macOS,sha256,round1,"[35621000, 16821000, 2407000, 131352000, 8050000, 26395000, 6323000, 85073000, 123875000, 25000000, 27952000, 38451000, 30981000, 62806000, 15864000]"
macOS,sha256,round2,"[36580000, 28803000, 135960000, 62985000, 13557000, 65794000, 29928000, 126343000, 128611000, 45777000, 79210000, 170499000, 57333000, 17860000, 13101000]"
macOS,sha256,round3,"[15674000, 135535000, 15902000, 2359000, 42112000, 41226000, 18783000, 7850000, 56622000, 6795000, 12993000, 18680000, 11140000, 13015000, 41973000]"
macOS,sha256,round4,"[48801000, 31427000, 44152000, 25147000, 11218000, 6251000, 54674000, 58504000, 70318000, 75110000, 69528000, 20265000, 19899000, 1231000, 5972000]"
macOS,sha256,round5,"[9788000, 38374000, 17069000, 2534000, 63328000, 7788000, 17214000, 3212000, 55974000, 91866000, 20010000, 31039000, 47806000, 34012000, 76278000]"
macOS,sha256,round6,"[13858000, 29079000, 21983000, 142916000, 19546000, 11109000, 42708000, 24773000, 122298000, 96540000, 48062000, 79353000, 209632000, 52618000, 15042000]"
macOS,sha256,round7,"[13771000, 14276000, 112463000, 15706000, 2652000, 40757000, 45078000, 20972000, 8396000, 57353000, 6889000, 12891000, 17394000, 11195000, 12571000]"
macOS,sha256,round8,"[57632000, 82601000, 46686000, 49572000, 28557000, 11878000, 7871000, 64837000, 100196000, 110912000, 76040000, 186582000, 53263000, 33798000, 1287000]"
