Algorithm,Data Size (MB),Timing (ms)
sha256,2,7.799863815307617
sha256,2,7.249355316162109
sha256,2,7.775783538818359
sha256,2,6.906986236572266
sha256,4,14.636516571044922
sha256,4,14.092683792114258
sha256,4,13.66567611694336
sha256,4,14.87874984741211
sha256,4,12.719154357910156
sha256,8,29.606103897094727
sha256,8,30.301570892333984
sha256,8,33.30874443054199
sha256,8,27.47344970703125
sha256,8,28.011560440063477
sha256,16,55.75895309448242
sha256,16,58.10284614562988
sha256,16,55.591583251953125
sha256,16,60.28032302856445
sha256,16,62.27302551269531
sha256,32,119.28844451904297
sha256,32,113.93618583679199
sha256,32,113.8155460357666
sha256,32,113.10625076293945
sha256,32,118.49689483642578
sha256,64,243.7112331390381
sha256,64,232.27906227111816
sha256,64,230.8197021484375
sha256,64,235.66341400146484
sha256,64,233.7338924407959
sha256,128,465.32154083251953
sha256,128,468.59002113342285
sha256,128,451.4322280883789
sha256,128,475.569486618042
sha256,128,469.4325923919678
sha256,200,728.6615371704102
sha256,200,734.504222869873
sha256,200,726.3088226318359
sha256,200,730.353832244873
sha256,200,717.9687023162842
sha256,512,1858.710765838623
sha256,512,1878.1929016113281
sha256,512,1840.973138809204
sha256,512,1882.2729587554932
sha256,512,1860.347032546997
sha512,1,2.530336380004883
sha512,1,2.1758079528808594
sha512,1,2.5691986083984375
sha512,1,1.7387866973876953
sha512,1,2.938508987426758
sha512,2,6.834268569946289
sha512,2,5.849599838256836
sha512,2,4.350423812866211
sha512,2,5.513668060302734
sha512,2,5.644559860229492
sha512,4,10.080575942993164
sha512,4,8.22305679321289
sha512,4,9.53984260559082
sha512,4,8.15272331237793
sha512,4,10.143041610717773
sha512,8,19.771337509155273
sha512,8,21.340370178222656
sha512,8,17.84992218017578
sha512,8,20.17378807067871
sha512,8,17.475128173828125
sha512,16,36.86881065368652
sha512,16,39.429426193237305
sha512,16,37.73617744445801
sha512,16,38.32888603210449
sha512,16,35.95542907714844
sha512,32,81.49218559265137
sha512,32,79.65755462646484
sha512,32,80.50394058227539
sha512,32,74.0973949432373
sha512,32,78.71484756469727
sha512,64,160.7077121734619
sha512,64,154.35075759887695
sha512,64,154.40082550048828
sha512,64,157.77134895324707
sha512,64,157.5157642364502
sha512,128,309.6790313720703
sha512,128,313.34567070007324
sha512,128,314.32342529296875
sha512,128,312.55245208740234
sha512,128,305.6297302246094
sha512,200,484.4965934753418
sha512,200,498.2469081878662
sha512,200,492.05780029296875
sha512,200,476.0286808013916
sha512,200,482.52177238464355
sha512,512,1250.0739097595215
sha512,512,1235.1460456848145
sha512,512,1239.6519184112549
sha512,512,1244.004249572754
sha512,512,1253.2973289489746
sha3_256,1,3.1425952911376953
sha3_256,1,4.0283203125
sha3_256,1,2.6891231536865234
sha3_256,1,3.9947032928466797
sha3_256,1,3.767728805541992
sha3_256,2,7.0590972900390625
sha3_256,2,6.579875946044922
sha3_256,2,6.843805313110352
sha3_256,2,7.236480712890625
sha3_256,2,7.644891738891602
sha3_256,4,13.149261474609375
sha3_256,4,13.458490371704102
sha3_256,4,13.918161392211914
sha3_256,4,13.515949249267578
sha3_256,4,14.40739631652832
sha3_256,8,27.9693603515625
sha3_256,8,27.987241744995117
sha3_256,8,27.14371681213379
sha3_256,8,27.578115463256836
sha3_256,8,27.6641845703125
sha3_256,16,55.14836311340332
sha3_256,16,55.60016632080078
sha3_256,16,54.42070960998535
sha3_256,16,56.57386779785156
sha3_256,16,54.78096008300781
sha3_256,32,112.0295524597168
sha3_256,32,108.93750190734863
sha3_256,32,111.2208366394043
sha3_256,32,111.80710792541504
sha3_256,32,110.82744598388672
sha3_256,64,223.29258918762207
sha3_256,64,222.85938262939453
sha3_256,64,220.52955627441406
sha3_256,64,222.334623336792
sha3_256,64,221.7245101928711
sha3_256,128,445.85680961608887
sha3_256,128,442.0468807220459
sha3_256,128,442.46697425842285
sha3_256,128,445.13916969299316
sha3_256,128,442.31700897216797
sha3_256,200,693.8142776489258
sha3_256,200,693.5689449310303
sha3_256,200,690.7923221588135
sha3_256,200,691.8063163757324
sha3_256,200,692.8720474243164
sha3_256,512,1775.5546569824219
sha3_256,512,1779.1049480438232
sha3_256,512,1776.6149044036865
sha3_256,512,1772.4123001098633
sha3_256,512,1775.6478786468506
blake2s,1,2.0940303802490234
blake2s,1,3.099203109741211
blake2s,1,2.0961761474609375
blake2s,1,2.801656723022461
blake2s,1,2.5129318237304688
blake2s,2,5.501985549926758
blake2s,2,5.297422409057617
blake2s,2,4.803657531738281
blake2s,2,5.577564239501953
blake2s,2,4.863500595092773
blake2s,4,10.744810104370117
blake2s,4,10.854482650756836
blake2s,4,10.365962982177734
blake2s,4,10.993719100952148
blake2s,4,9.630441665649414
blake2s,8,21.536588668823242
blake2s,8,20.624637603759766
blake2s,8,21.619081497192383
blake2s,8,21.44169807434082
blake2s,8,21.32701873779297
blake2s,16,42.150259017944336
blake2s,16,42.14930534362793
blake2s,16,42.33717918395996
blake2s,16,42.392730712890625
blake2s,16,42.9539680480957
blake2s,32,85.78801155090332
blake2s,32,85.48760414123535
blake2s,32,84.12599563598633
blake2s,32,85.15477180480957
blake2s,32,86.18688583374023
blake2s,64,171.2038516998291
blake2s,64,170.7603931427002
blake2s,64,170.335054397583
blake2s,64,170.54128646850586
blake2s,64,170.44568061828613
blake2s,128,341.43614768981934
blake2s,128,340.51990509033203
blake2s,128,341.1750793457031
blake2s,128,339.2219543457031
blake2s,128,340.2972221374512
blake2s,200,533.0810546875
blake2s,200,533.4653854370117
blake2s,200,532.4344635009766
blake2s,200,531.4333438873291
blake2s,200,531.8179130554199
blake2s,512,1357.428789138794
blake2s,512,1368.9444065093994
blake2s,512,1365.2465343475342
blake2s,512,1363.5895252227783
blake2s,512,1361.9568347930908
blake2b,1,1.4154911041259766
blake2b,1,1.360177993774414
blake2b,1,2.2597312927246094
blake2b,1,1.3623237609863281
blake2b,1,2.5718212127685547
blake2b,2,3.7403106689453125
blake2b,2,2.9985904693603516
blake2b,2,4.040241241455078
blake2b,2,2.7313232421875
blake2b,2,3.671884536743164
blake2b,4,7.829189300537109
blake2b,4,6.784200668334961
blake2b,4,6.803989410400391
blake2b,4,6.800651550292969
blake2b,4,7.60197639465332
blake2b,8,15.131473541259766
blake2b,8,14.262199401855469
blake2b,8,14.267444610595703
blake2b,8,13.743400573730469
blake2b,8,13.734579086303711
blake2b,16,27.994632720947266
blake2b,16,28.209924697875977
blake2b,16,29.41727638244629
blake2b,16,28.86056900024414
blake2b,16,30.193805694580078
blake2b,32,57.117462158203125
blake2b,32,58.71105194091797
blake2b,32,56.177616119384766
blake2b,32,58.56752395629883
blake2b,32,57.46269226074219
blake2b,64,115.25249481201172
blake2b,64,114.07995223999023
blake2b,64,114.48550224304199
