Algorithm,Data Size (MB),Timing (ms)
blake2s,200,769.6380615234375
blake2s,200,782.9649448394775
blake2b,200,590.8060073852539
blake2b,200,607.2268486022949
blake2b,200,597.1908569335938
blake2b,200,617.2151565551758
blake2b,200,491.41597747802734
sha256,200,416.04089736938477
sha256,200,365.67068099975586
sha256,200,296.9808578491211
sha256,200,232.17201232910156
sha256,200,229.45117950439453
blake3,512,1024.39284324646
blake3,512,1099.9648571014404
blake3,512,1167.3681735992432
blake3,512,1046.7851161956787
blake3,512,639.2362117767334
sha256,512,657.8619480133057
sha256,512,393.60833168029785
sha256,512,300.9531497955322
sha256,512,305.51719665527344
sha256,512,296.7188358306885
blake2b,512,1457.740068435669
blake2b,512,859.1177463531494
blake2b,512,681.1010837554932
blake2b,512,644.9470520019531
blake2b,512,639.3179893493652
blake2s,512,1981.233835220337
blake2s,512,1473.1309413909912
blake2s,512,1059.4878196716309
blake2s,512,1007.6930522918701
blake2s,512,1004.7650337219238
